country,company,wiki_url,official_sites,possible_official_sites,status_note,company_summary,founded_year,headquarters,products,employees,revenue
Africa,Nile Breweries Limited,https://en.wikipedia.org/wiki/Nile_Breweries_Limited,,http://www.observer.ug/component/content/article?id=5942:beer-wars-nile-bell-row-rocks-industry,Potential,Nile Breweries Limited (NBL) is the leading beer manufacturer in Uganda.,1951.0,"Jinja, Uganda","Beer, water",,
Africa,Pioneer Foods,https://en.wikipedia.org/wiki/Pioneer_Foods,,http://www.pioneerfoods.co.za/,Potential,"Pioneer Foods is a South African packaged goods company which in March 2020 became a subsidiary of PepsiCo. It operates in South Africa as well as two other African countries and exports a number of its brands globally. The company's core business is the production, distribution, marketing and selli...",1997.0,"Bellville, City of Cape Town, South Africa","Bokomo Cereals, SASKO Flour & Bread, White Star Maize Meal,, Ceres Fruit Juices, , Liqui-Fruit, Spekko rice, Safari dried fruit & nuts",,"R 18,748 million (2015)"
Africa,SOMED,https://en.wikipedia.org/wiki/SOMED,,http://www.somed.ma/fr/filiales/details/23/fenie-brossette.html,Potential,"SOMED (French: Société Maroco-Emiratie de Développement) is a conglomerate company based in Morocco. It is active in a range of sectors such as mining, construction material dealership, tourism, real estate development, food processing and car dealership. Its capital is composed of King Mohammed VI'...",,,,,
Africa,Spur Corporation,https://en.wikipedia.org/wiki/Spur_Corporation,https://spurmenucoza.com/,,Confirmed,"Spur Corporation Limited is a South African restaurant company. It operates a number of franchise chains, among them Casa Bella, Panarotti's‚ RocoMamas and Spur Steak Ranches. The company was founded by Allen Ambor in 1967, when he opened the Golden Spur in Newlands, Cape Town. It is listed on the J...",1967.0,"Cape Town, South Africa",Restaurant franchises,,"R 3 045.2 million, up 27.4% (2022: R2 391.1 million) ( FY 2023 )"
Africa,Tiger Brands,https://en.wikipedia.org/wiki/Tiger_Brands,,http://www.tigerbrands.com/,Potential,"Tiger Brands Limited (JSE: TBS) is a South African packaged goods company producing everyday branded food, beverage, home and personal care products. In addition to the company's South African operations, Tiger Brands exports to large and growing markets across the rest of the African continent. The...",1921.0,"Waterfall City, Midrand, Gauteng, South Africa",Over one hundred covering a variety of packaged goods and foodstuffs.,"8,295  (2025)",R 34.4 billion  (2025)
Africa,Tilda Uganda,https://en.wikipedia.org/wiki/Tilda_Uganda,http://www.tilda.com/,,Confirmed,Tilda Uganda Limited is a rice growing and processing company in the Eastern Region of Uganda.,1996.0,"Kibimba, Uganda",Rice,,
Africa,Tongaat Hulett,https://en.wikipedia.org/wiki/Tongaat_Hulett,http://www.tongaat.com,,Confirmed,"Tongaat Hulett is a South African agriculture and agri-processing business, focusing on the complementary feedstocks of sugarcane and maize. Headquartered in oThongathi, KwaZulu-Natal, Tongaat Hulett was founded in 1892. The company was formed as a result of a merger between the Tongaat Sugar Compan...",1892.0,"oThongathi, KwaZulu-Natal, South Africa",,"31, 230","R 14,373 Billion ( FY 2013 )"
Argentina,Grupo Arcor,https://en.wikipedia.org/wiki/Grupo_Arcor,https://www.arcor.com/ar/,,Confirmed,"Grupo Arcor is an Argentine food company specializing in confectioneries. The firm was founded on July 5, 1951 in the city of Arroyito, Córdoba. It specializes in the production of foodstuff, sugar and chocolate confectioneries, cookies and ice cream in 39 industrial plants throughout Latin America....",1951.0,"Arroyito, Córdoba, Argentina",Confection,"19,700 (2019)",3.2 billion USD (2015)
Argentina,Havanna,https://en.wikipedia.org/wiki/Havanna_(Argentine_company),https://www.havanna.com.ar/,,Confirmed,"Havanna Holding S.A. (mostly known for its trade name Havanna) is an Argentine manufacturer of food products, mostly known for its alfajores. The firm was founded in 1948 by Benjamín Sisterna, Demetrio Elíades, and Luis Sbaraglini and began its activities as a producer of alfajores in the city of Ma...",1948.0,"Mar del Plata, Argentina","Alfajores, , cone-shaped alfajores,, dulce de leche, ,, cookies, ,, puddings, ,, coffee",70–80  (2020),"AR$3,140 million  (2020)"
Argentina,La Serenísima,https://en.wikipedia.org/wiki/La_Seren%C3%ADsima,https://www.laserenisima.com.ar/,,Confirmed,"Mastellone Hermanos S.A. (mostly known for its trade name: La Serenísima) is an Argentine dairy company headquartered in the city of General Rodríguez in Buenos Aires Province. The company, founded by Antonino Mastellone in 1929, owned by Grupo Arcor and multinational Danone. Starting as a small fir...",1929.0,"General Rodríguez, Buenos Aires Province, Argentina",Dairy products,"3,500  (2018)",US$900 million  (2018)
Argentina,Molinos Río de la Plata,https://en.wikipedia.org/wiki/Molinos_R%C3%ADo_de_la_Plata,,,Manual Check Required,"Molinos Río de la Plata (BCBA: MOLI) is Argentina's largest branded food products company. The company is a large exporter of sunflower processed oil and is one of Argentina's main exporters of bottled oil. Molinos also produces a wide range of packaged foods for domestic consumption, including bott...",1902.0,"Buenos Aires, Argentina",Food,"5,000","547,117,081 United States dollar (2019)"
Argentina,SanCor,https://en.wikipedia.org/wiki/SanCor,http://www.sancor.com.ar/,,Confirmed,"SanCor is one of the leading dairy producers in Argentina (along with competitor La Serenísima). It holds one fifth of the total production in the country, and 90% of the Argentine exports of dairy products. It is a large cooperative made up many smaller ones, based on the Argentine ""central milk ba...",1938.0,"Sunchales, Santa Fe, Argentina",Dairy products,,
Australia,The a2 Milk Company,https://en.wikipedia.org/wiki/The_a2_Milk_Company,https://thea2milkcompany.com,,Confirmed,"The a2 Milk Company Limited (previously known as A2 Corporation) is a New Zealand company that commercialises intellectual property relating to A1 protein-free milk that is sold under the a2 and a2 Milk brands, as well as the milk and related products such as infant formula. It is cross-listed in bo...",2000.0,"Auckland, New Zealand","A2 Milk, , dairy,, infant formula",111  (2016),NZ$ 1.21 billion  (2021)
Australia,Arnott's Group,https://en.wikipedia.org/wiki/Arnott%27s_Group,http://www.arnotts.com.au/,,Confirmed,"Arnott's Group is an Australian producer of biscuits and snack food. Founded in 1865 by William Arnott, the first factory was Arnott's Steam Biscuit Factory in Newcastle, New South Wales. The company undertook several mergers and acquisitions in the 1950s and 1960s, Arnott's was acquired by the Camp...",1865.0,"North Strathfield, Sydney, New South Wales, Australia","SAO, Jatz, Shapes, Tim Tams, Iced Vovos, Tiny Teddies, Marie, Nice, Monte Carlo, Ginger Nut, Wagon Wheels, Campbell's, (outside North America and Mexico)",,A$ 1.04 billion (2018)
Australia,Baiada Poultry,https://en.wikipedia.org/wiki/Baiada_Poultry,https://www.baiada.com.au/,,Confirmed,"Baiada Poultry is a privately owned company that produces poultry products throughout Australia. Its operations include broiler and breeder farms, hatcheries, processing plants, feedmilling and protein recovery. Its head office is at Pendle Hill, New South Wales with plants in Beresfield, Tamworth, ...",1963.0,"Sydney, Australia",Steggles and Lilydale poultry products,"2,200 (2012)",A$ 3.6 bn (2024)
Australia,Bakers Delight,https://en.wikipedia.org/wiki/Bakers_Delight,https://www.bakersdelight.com.au/,,Confirmed,"Bakers Delight is an Australian-owned multinational bakery franchise chain, with franchisors in Australia, New Zealand, Canada and the United States. There are over 700 stores worldwide, with Australia having over 500 stores.",1980.0,"Camberwell, Victoria, Australia","Bread, , pastries",,
Australia,Balfours,https://en.wikipedia.org/wiki/Balfours,https://balfours.com.au/,,Confirmed,"Balfours is an Australian bakery which produces pies, pasties and cakes for sale in South Australia, Victoria, and New South Wales.",1853.0,Australia,,,
Australia,Baskin-Robbins Australia,https://en.wikipedia.org/wiki/Baskin-Robbins_Australia,https://www.baskinrobbins.com/en,,Confirmed,"Baskin-Robbins, Inc. is an American multinational chain of ice cream and cake specialty shops owned by Inspire Brands. Baskin-Robbins was founded in 1945 by Burt Baskin and Irv Robbins in Glendale, California. Its headquarters are in Canton, Massachusetts, and shared with sibling brand Dunkin' Donut...",1945.0,"Canton, Massachusetts, U.S.","Ice cream, Frozen beverages, Ice cream cakes, Frozen treats",,
Australia,Beerenberg Farm,https://en.wikipedia.org/wiki/Beerenberg_Farm,http://www.beerenberg.com.au/,,Confirmed,"Beerenberg Farm is an Australian producer of jams, condiments, sauces and dressings, located in Hahndorf in the Adelaide Hills of South Australia. The company premises are a tourist attraction on the state's food-and-wine trail, and have gained an international reputation due to the use of its porti...",1839.0,"Hahndorf, South Australia, Australia",Jams and preserves,85 (2018),
Australia,Bega Cheese,https://en.wikipedia.org/wiki/Bega_Cheese,http://www.begacheese.com.au/,,Confirmed,"The Bega Group is an Australian diversified food and drinks company with manufacturing sites in New South Wales, Queensland, Western Australia and Victoria. Founded as an agricultural cooperative in the town of Bega, New South Wales, by their dairy suppliers, it became a public company in 2011 when ...",1899.0,"Bega, New South Wales, Australia",,,"A$3,521.6M (2024)"
Australia,Bellamy's Australia,https://en.wikipedia.org/wiki/Bellamy%27s_Australia,,,Manual Check Required,"Bellamy's Australia (formerly Tasmanian Pure Foods Ltd) is an Australian food and beverage company, and is the parent company of Bellamy's Organic, Australia's largest organic infant formula producer.",2014.0,"Launceston, Australia","Organic infant formula, &, Organic food",46 (2017),A$ 240.2 million  (2017)
Australia,Bickford's Australia,https://en.wikipedia.org/wiki/Bickford%27s_Australia,http://www.bickfords.net/,,Confirmed,"Bickford's Australia Pty. Ltd. is an Australian beverage manufacturer based in South Australia. The brand produces traditional cordials, soft drinks, and iced coffee mix originally manufactured by A. M. Bickford & Sons, a pharmaceutical chemist founded by Anne Margaret Bickford in 1864. In 1999, the...",,"Salisbury, South Australia","Drink mixers, and, Soft drink",,
Australia,Boost Juice,https://en.wikipedia.org/wiki/Boost_Juice,http://www.boostjuicebars.com.au,,Confirmed,"Boost Juice Bars is an Australian multinational retail outlet owned by parent company Retail Zoo that specialise in fruit juice and smoothies. Boost Juice Bars was formed in 2000 with the first store located in Adelaide, South Australia. The company has expanded internationally with stores in Asia, ...",2000.0,"Chadstone, Melbourne, Australia","Juices, smoothies",,
Australia,Breadtop,https://en.wikipedia.org/wiki/Breadtop,http://www.breadtop.com.au,,Confirmed,"Breadtop (Chinese: 包店, pinyin: bāo diàn) is an Australian bakery franchise selling a wide range of bread, cakes, buns and pastries. The chain is often likened to the Singapore-based Breadtalk due to the similar store concepts, products on offer and designs. As of December 2017, the franchise has ove...",2002.0,"Richmond, Victoria, Australia","Bread, and, Cakes",,
Australia,Brooklyn Boy Bagels,https://en.wikipedia.org/wiki/Brooklyn_Boy_Bagels,,https://eatdrinkplay.com/sydney/10-questions-with-brooklyn-boy-bagels/,Potential,"Brooklyn Boy Bagels is a bakery and cafe in Sydney, Australia. The business specialises in New York-style bagels and other bakery goods. Their products have won several awards.",2013.0,"Marrickville, Australia","Bagels, bakery goods",10-50,
Australia,Bulla Dairy Foods,https://en.wikipedia.org/wiki/Bulla_Dairy_Foods,,http://www.bulla.com.au,Potential,"Bulla Dairy Foods is an Australian dairy company that manufactures national and export ranges of ice cream, table cream, yoghurt, sour cream, cottage cheese, and imitation cream under various brands. The business was established in 1910 and subsequently became a partnership among three inter-related...",,"Derrimut, Victoria",,,
Australia,Bundaberg Brewed Drinks,https://en.wikipedia.org/wiki/Bundaberg_Brewed_Drinks,http://www.bundaberg.com,,Confirmed,"Bundaberg Brewed Drinks Pty Ltd is an Australian family-owned business that brews non-alcoholic beverages. Based in Bundaberg, Queensland, the company exports to over 60 countries across the globe and is most known for ginger beer and other carbonated beverages.",1960.0,"Bundaberg East, Queensland, Australia",Beverages,,
Australia,Camperdown Dairy International,https://en.wikipedia.org/wiki/Camperdown_Dairy_International,,,Manual Check Required,"Camperdown Dairy International (CDI) was an Australian infant formula company which was founded in 2014 and went into administration in 2017. As well as serving in Australia, it also held licences to sell products in China and Vietnam. It was from 2016 to 2017 one of the two co-major sponsors of the...",2014.0,"Braeside, Victoria, Australia",,,
Australia,Canberra Milk,https://en.wikipedia.org/wiki/Canberra_Milk,http://canberramilk.com.au,,Confirmed,"Canberra Milk is an Australian manufacturer of milk products owned by Capitol Chilled Foods. The multinational company Bega Dairy & Drinks has a controlling interest in Capitol Chilled Foods, which is the Australian Capital Territory's sole dairy manufacturer. Bega Cheese Ltd owns a 25% stake. Canbe...",1952.0,"Canberra, Australia",,,
Australia,Darrell Lea,https://en.wikipedia.org/wiki/Darrell_Lea,,https://www.sbs.com.au/news/insight/article/2017/03/24/when-family-business-turns-sour-story-darrell-lea,Potential,"Darrell Lea is an Australian company that manufactures and distributes chocolate, liquorice and other confectionery. Its headquarters is based in the Sydney suburb of Ingleburn. After 85 years under the ownership and control of the Lea family, the company went into voluntary administration in 2012 l...",1927.0,"Sydney, Australia","Chocolate, liquorice and other confectionery",200 (2018  ),
Australia,Dick Smith Foods,https://en.wikipedia.org/wiki/Dick_Smith_Foods,https://web.archive.org/web/20230324065859/http://www.dicksmithfoods.com.au/,,Confirmed,"Dick Smith Foods was a food brand created by Australian entrepreneur Dick Smith to provide Australian owned and produced alternatives to products from foreign-owned food companies. Generally, the brand focused on producing local alternatives to products with large market shares like Kraft peanut but...",,,,,
Australia,Ernest Hillier Chocolates,https://en.wikipedia.org/wiki/Ernest_Hillier_Chocolates,,https://web.archive.org/web/20220301145809/https://ernesthillier.com.au/,Potential,"Ernest Hillier Chocolates is an Australian chocolatier. Founded in 1914, it is Australia's first chocolate manufacturer, and its oldest privately owned chocolatier is still in operation. The company is headquartered in Melbourne, and produces over 600 chocolate products.",1914.0,"9-11 Hocking Street, Coburg North, Victoria, Australia",Chocolates,Around 60,
Australia,Ferguson Plarre Bakehouses,https://en.wikipedia.org/wiki/Ferguson_Plarre_Bakehouses,,,Manual Check Required,"Ferguson Plarre's Bakehouse is a family owned and operated bakery business based in Melbourne, Australia. The business began as two separate entities (Ferguson's Cakes and Plarre's Cakes) with the families coming together to form Ferguson Plarre Bakehouses in 1980. Ferguson Plarre now has 86 stores ...",1901.0,"35 Harrick Road, Keilor Park, Victoria, Australia","Cakes, , pastries, meat pies",,
Australia,Frosty Boy,https://en.wikipedia.org/wiki/Frosty_Boy,,,Manual Check Required,"Frosty Boy is an Australian manufacturer and distributor of soft serve and Frozen Yogurt products headquartered in Yatala, Queensland, Australia. Founded in 1976, Frosty Boy manufactures products including soft serves, frozen yoghurts and beverage bases for customers internationally.",,"Yatala, Queensland, Australia","Frozen yogurt, Soft serves, Beverages",,
Australia,Haigh's Chocolates,https://en.wikipedia.org/wiki/Haigh%27s_Chocolates,https://www.haighschocolates.com.au/,,Confirmed,"Haigh's Chocolates is an Australian family owned bean-to-bar chocolate-making company based in Adelaide, South Australia. It was founded on 1 May 1915 by Alfred E. Haigh and has retail outlets in Canberra, Melbourne, and Sydney, as well as several stores in Adelaide.",1915.0,"Adelaide, Australia",Chocolates,900 (2025),
Australia,Huon Aquaculture,https://en.wikipedia.org/wiki/Huon_Aquaculture,http://huonaqua.com.au,,Confirmed,"Huon Aquaculture is a large aquaculture and food processing enterprise located in Tasmania, Australia. Founded in 1986, Huon has grown to become the second largest salmon producer in the state, after ASX-listed Tassal; it employs 487 Tasmanians and produces 25,000 tonnes of salmon annually. It becam...",1986.0,"Dover, Tasmania, Australia",Processed salmon products,700,
Australia,Inghams Enterprises,https://en.wikipedia.org/wiki/Inghams_Enterprises,https://inghams.com.au/,,Confirmed,"Ingham's is a supplier/producer of poultry and fodder across Australia and New Zealand. The company claims to be one of the largest producers of chicken and turkey products in Australia and employs in excess of 8,000 people in more than 100 locations in Australia and New Zealand. The company was fou...",1918.0,"North Ryde, New South Wales, Australia","Processed, chicken, and, turkey, products and, stockfeed","8,000",
Australia,Isis Central Sugar Mill,https://en.wikipedia.org/wiki/Isis_Central_Sugar_Mill,,http://www.isissugar.com.au/default.aspx,Potential,"Isis Central Sugar Mill is a sugar cane mill at Kevin Livingstone Drive, Isis Central, Bundaberg Region of Queensland, Australia. Isis Central Sugar Mill produces raw sugar, molasses and electricity.",,"Isis Central, Queensland, Australia","Raw sugar, molasses and electricity",,"A$90,000,000 (2014)"
Australia,Lion Dairy & Drinks,https://en.wikipedia.org/wiki/Lion_Dairy_%26_Drinks,http://www.begacheese.com.au/,,Confirmed,"The Bega Group is an Australian diversified food and drinks company with manufacturing sites in New South Wales, Queensland, Western Australia and Victoria. Founded as an agricultural cooperative in the town of Bega, New South Wales, by their dairy suppliers, it became a public company in 2011 when ...",1899.0,"Bega, New South Wales, Australia",,,"A$3,521.6M (2024)"
Australia,Mrs Mac's Pies,https://en.wikipedia.org/wiki/Mrs_Mac%27s_Pies,http://www.mrsmacs.com.au/,,Confirmed,"Mrs Mac's Pies is an Australian food company manufacturing meat pies sold throughout Australia and New Zealand and produced in Perth, Western Australia.",1954.0,"Morley, Western Australia, Australia",,,
Australia,Murray Goulburn Co-operative,https://en.wikipedia.org/wiki/Murray_Goulburn_Co-operative,http://www.mgc.com.au/,,Confirmed,"Murray Goulburn Co-operative Co. Limited (also known as Devondale Murray Goulburn) was a dairy-processing co-operative corporation. In 2018, following financial difficulties and difficulties with suppliers over sustainable prices, the business assets were sold to Saputo Inc, a publicly listed Canadi...",1950.0,"Southbank, Melbourne, Victoria, Australia","Milk, Butter, Cheese","2,000 approx",+ A$ 2.4 billion (2012/13)
Australia,Norco Co-operative,https://en.wikipedia.org/wiki/Norco_Co-operative,,,Manual Check Required,"Norco Co-operative Limited is an agricultural supply and marketing co-operative based in the Northern Rivers region of New South Wales, Australia. Established in 1895, it sells dairy products and services locally and internationally. Its 200+ dairy farm members supply over 200 million litres of milk...",1895.0,"Lismore, Australia","Milk, Cheese, Ice-Cream, Rural Products",840+,$541 million
Australia,Nuttelex,https://en.wikipedia.org/wiki/Nuttelex,https://www.nuttelex.com/,,Confirmed,"Nuttelex is an Australian manufacturer of margarine. First manufactured in 1932, its namesake brand is the oldest brand of margarine in Australia.",1932.0,"Knoxfield, Victoria, Australia",Margarine,,
Australia,Patties Foods,https://en.wikipedia.org/wiki/Patties_Foods,https://www.pattiesfoodgroup.com/,,Confirmed,"Patties Foods, is an Australian food manufacturing company that produces meat pies, baked goods, frozen fruits, and pre-made desserts. Patties Foods is represented in the Australian market by the Four'n Twenty, Patties, Herbert Adams, Nanna's, Chefs Pride, Boscastle and Snowy River brands. Patties i...",1966.0,"Bairnsdale, Australia","Meat pies, Pastries, baked goods, frozen fruits and desserts, Pre Prepared Meals",,
Australia,Retail Food Group,https://en.wikipedia.org/wiki/Retail_Food_Group,http://www.rfg.com.au,,Confirmed,"Retail Food Group Limited, often abbreviated as RFG, is an ASX-listed company and Australian franchisor based in Robina, Queensland and operates locations in Australia and New Zealand. It owns numerous brands including Gloria Jean's Coffees, Brumby's Bakeries, Donut King, Di Bella Coffee, The Coffee...",1989.0,"Robina, Queensland",,,
Australia,San Remo Macaroni Company,https://en.wikipedia.org/wiki/San_Remo_Macaroni_Company,https://sanremo.com.au/,,Confirmed,"San Remo, formerly San Remo Macaroni Company, is an Australian food company based in Adelaide, South Australia. The company was founded in 1936 by Luigi Crotti, who migrated to Australia from Italy. It played a major part in making pasta a staple of the Australian diet, before expanding its horizons...",1936.0,"Adelaide, Australia","Pasta, ,, pasta sauce",,
Australia,Sanitarium,https://en.wikipedia.org/wiki/Sanitarium_Health_Food_Company,,https://books.google.com/books?id=5dSsAAAACAAJ,Potential,"The Sanitarium Health and Wellbeing Company is the trade name of two sister food companies (Australian Health and Nutrition Association Ltd and New Zealand Health Association Ltd). Both are wholly owned by the Seventh-day Adventist Church. Founded in Melbourne, Victoria, in 1898, Sanitarium has fact...",1898.0,"New South Wales, Australia, Auckland, New Zealand","Weet-Bix, Up & Go, Peanut butter, So Good, Marmite, Alternative Dairy Company",1700,A $300 million
Australia,Schweppes Australia,https://en.wikipedia.org/wiki/Schweppes_Australia,https://www.asahibeverages.com/,,Confirmed,"Asahi Beverages is the non-alcohol business of Asahi Breweries operating in Australia and New Zealand. Its history is tied to Schweppes whose beverages arrived in Australia in 1850. In 1877, the first factory was built in Sydney, followed by one in Melbourne in 1885. After an international merger wi...",1877.0,"Melbourne, Victoria, Australia","Pepsi, ,, Sunkist, ,, Mountain Dew, ,, Gatorade, ,, Cottee’s Cordial, ,, Spring Valley Beverages, , Pop Tops,, Cool Ridge, ,, Frantelle, ,, P&N Beverages, ,, Solo",1800+,
Australia,Snack Brands Australia,https://en.wikipedia.org/wiki/Snack_Brands_Australia,http://snackbrands.com.au/,,Confirmed,"Snackbrands (SBA) is one of the largest suppliers of snack foods in Australia and acts as the main competitor to the long established The Smith's Snackfood Company. The company was founded in August 1998 as a subsidiary of parent company Snack Foods Limited, with main product lines including Kettle,...",1998.0,"Norwest, Sydney, Australia",Chips and corn snacks,,
Australia,So Natural,https://en.wikipedia.org/wiki/So_Natural_(brand),https://web.archive.org/web/20120328064511/http://freedomfoods.stagingserver.com.au/A-Bit-About-Us/Our-Brands/So-Natural.aspx,,Confirmed,"So Natural, an Australian brand of organic products, is part of Freedom Foods Group, a diversified food company operating in the health and wellness sector. So Natural was formed in 1991 when it started producing soy milk. In 2004, So Natural gained wide publicity in Australia when it announced an e...",,,,,
Australia,Sustagen,https://en.wikipedia.org/wiki/Sustagen,http://www.sustagen.com.au/,,Confirmed,"Sustagen is a nutritional supplement beverage brand, available in both ready-to-drink and powdered form, manufactured by the food science division of Nestle, and includes products for those with special dietary requirements for example, gluten-free, low lactose, high fibre, high protein or with adde...",,,,,
Australia,Tassal,https://en.wikipedia.org/wiki/Tassal,http://www.tassal.com.au/,,Confirmed,"Tassal is a Canadian-owned aquaculture company with its main operations based in Tasmania. It was founded in 1986 and listed on the Australian Securities Exchange (ASX) from 2003 until 2022. Tassal is the largest producer of Tasmanian grown Atlantic salmon, supplying salmon to both domestic and inte...",1986.0,"Hobart, Tasmania, Australia","Atlantic salmon, Black tiger prawn",1712  (2021),A$594m  (2021)
Australia,Thomas Foods International,https://en.wikipedia.org/wiki/Thomas_Foods_International,,,Manual Check Required,"Thomas Foods International (TFI) is Australia’s largest 100% family-owned red meat processor, headquartered in South Australia. The company is led by Darren Thomas, Managing Director and son of co-founder, Chris Thomas. TFI is a fully vertically-integrated business, with the full supply chain in-hou...",1988.0,,"Red meat, ,, beef, ,, lamb, ,, mutton, ,, goat",,
Australia,Three Threes Condiments,https://en.wikipedia.org/wiki/Three_Threes_Condiments,http://www.threethrees.com.au/,,Confirmed,Three Threes Condiments is a condiments producer of Australia.,1919.0,"Lidcombe, New South Wales, Australia",,,
